[2026-07-30T09:31:18.241+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2026-07-30T09:31:18.248+0000] {taskinstance.py:2603} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: retail_etl.load_data manual__2026-07-30T09:31:11.182824+00:00 [queued]>
[2026-07-30T09:31:18.251+0000] {taskinstance.py:2603} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: retail_etl.load_data manual__2026-07-30T09:31:11.182824+00:00 [queued]>
[2026-07-30T09:31:18.251+0000] {taskinstance.py:2856} INFO - Starting attempt 1 of 1
[2026-07-30T09:31:18.256+0000] {taskinstance.py:2879} INFO - Executing <Task(BashOperator): load_data> on 2026-07-30 09:31:11.182824+00:00
[2026-07-30T09:31:18.257+0000] {standard_task_runner.py:72} INFO - Started process 57 to run task
[2026-07-30T09:31:18.259+0000] {standard_task_runner.py:104} INFO - Running: ['airflow', 'tasks', 'run', 'retail_etl', 'load_data', 'manual__2026-07-30T09:31:11.182824+00:00', '--job-id', '8', '--raw', '--subdir', 'DAGS_FOLDER/retail_pipeline.py', '--cfg-path', '/tmp/tmpnj8sc70m']
[2026-07-30T09:31:18.260+0000] {standard_task_runner.py:105} INFO - Job 8: Subtask load_data
[2026-07-30T09:31:18.279+0000] {task_command.py:467} INFO - Running <TaskInstance: retail_etl.load_data manual__2026-07-30T09:31:11.182824+00:00 [running]> on host b8b5f4b1231a
[2026-07-30T09:31:18.309+0000] {taskinstance.py:3122} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='airflow' AIRFLOW_CTX_DAG_ID='retail_etl' AIRFLOW_CTX_TASK_ID='load_data' AIRFLOW_CTX_EXECUTION_DATE='2026-07-30T09:31:11.182824+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2026-07-30T09:31:11.182824+00:00'
[2026-07-30T09:31:18.309+0000] {taskinstance.py:731} INFO - ::endgroup::
[2026-07-30T09:31:18.316+0000] {subprocess.py:63} INFO - Tmp dir root location: /tmp
[2026-07-30T09:31:18.316+0000] {subprocess.py:75} INFO - Running command: ['/usr/bin/bash', '-c', '\n        cd /opt/airflow/project &&\n        python -m app.etl.load_all\n        ']
[2026-07-30T09:31:18.319+0000] {subprocess.py:86} INFO - Output:
[2026-07-30T09:31:18.922+0000] {subprocess.py:93} INFO - 2026-07-30 09:31:18,922 | INFO | ============================================================
[2026-07-30T09:31:18.922+0000] {subprocess.py:93} INFO - 2026-07-30 09:31:18,922 | INFO | Starting ETL Pipeline for categories.csv
[2026-07-30T09:31:18.923+0000] {subprocess.py:93} INFO - 2026-07-30 09:31:18,922 | INFO | ============================================================
[2026-07-30T09:31:18.924+0000] {subprocess.py:93} INFO - 2026-07-30 09:31:18,924 | INFO | Validating dataset
[2026-07-30T09:31:18.930+0000] {subprocess.py:93} INFO - 2026-07-30 09:31:18,930 | INFO | Removing duplicates
[2026-07-30T09:31:18.930+0000] {subprocess.py:93} INFO - 2026-07-30 09:31:18,930 | INFO | Replacing null values
[2026-07-30T09:31:18.930+0000] {subprocess.py:93} INFO - 2026-07-30 09:31:18,930 | INFO | Processing 10 records
[2026-07-30T09:31:18.973+0000] {subprocess.py:93} INFO - 2026-07-30 09:31:18,973 | INFO | categories.csv loaded successfully!
[2026-07-30T09:31:18.973+0000] {subprocess.py:93} INFO - 2026-07-30 09:31:18,973 | INFO | ============================================================
[2026-07-30T09:31:18.973+0000] {subprocess.py:93} INFO - 2026-07-30 09:31:18,973 | INFO | ============================================================
[2026-07-30T09:31:18.973+0000] {subprocess.py:93} INFO - 2026-07-30 09:31:18,973 | INFO | Starting ETL Pipeline for suppliers.csv
[2026-07-30T09:31:18.974+0000] {subprocess.py:93} INFO - 2026-07-30 09:31:18,973 | INFO | ============================================================
[2026-07-30T09:31:18.975+0000] {subprocess.py:93} INFO - 2026-07-30 09:31:18,975 | INFO | Validating dataset
[2026-07-30T09:31:18.976+0000] {subprocess.py:93} INFO - 2026-07-30 09:31:18,976 | INFO | Removing duplicates
[2026-07-30T09:31:18.976+0000] {subprocess.py:93} INFO - 2026-07-30 09:31:18,976 | INFO | Replacing null values
[2026-07-30T09:31:18.977+0000] {subprocess.py:93} INFO - 2026-07-30 09:31:18,976 | INFO | Processing 200 records
[2026-07-30T09:31:19.001+0000] {subprocess.py:93} INFO - 2026-07-30 09:31:19,001 | INFO | suppliers.csv loaded successfully!
[2026-07-30T09:31:19.001+0000] {subprocess.py:93} INFO - 2026-07-30 09:31:19,001 | INFO | ============================================================
[2026-07-30T09:31:19.001+0000] {subprocess.py:93} INFO - 2026-07-30 09:31:19,001 | INFO | ============================================================
[2026-07-30T09:31:19.001+0000] {subprocess.py:93} INFO - 2026-07-30 09:31:19,001 | INFO | Starting ETL Pipeline for stores.csv
