inventory_id,product_id,store_id,quantity
1,1,1,279
2,2,1,304
3,3,1,418
4,4,1,92
5,5,1,131
6,6,1,328
7,7,1,316
8,8,1,343
9,9,1,122
10,10,1,173
11,11,1,333
12,12,1,488
13,13,1,154
14,14,1,436
15,15,1,469
16,16,1,499
17,17,1,440
18,18,1,403
19,19,1,14
20,20,1,135
21,21,1,336
22,22,1,43
23,23,1,78
24,24,1,40
25,25,1,467
26,26,1,109
27,27,1,363
28,28,1,454
29,29,1,152
30,30,1,269
31,31,1,296
32,32,1,65
33,33,1,444
34,34,1,40
35,35,1,400
36,36,1,354
37,37,1,248
38,38,1,391
39,39,1,337
40,40,1,317
41,1,2,454
42,2,2,176
43,3,2,238
44,4,2,450
45,5,2,430
46,6,2,189
47,7,2,222
48,8,2,369
49,9,2,241
50,10,2,461
51,11,2,463
52,12,2,28
53,13,2,14
54,14,2,353
55,15,2,328
56,16,2,182
57,17,2,181
58,18,2,199
59,19,2,235
60,20,2,285
61,21,2,13
62,22,2,380
63,23,2,156
64,24,2,64
65,25,2,186
66,26,2,34
67,27,2,25
68,28,2,136
69,29,2,366
70,30,2,320
71,31,2,444
72,32,2,377
73,33,2,257
74,34,2,159
75,35,2,228
76,36,2,359
77,37,2,457
78,38,2,47
79,39,2,417
80,40,2,327
81,1,3,394
82,2,3,304
83,3,3,384
84,4,3,294
85,5,3,307
86,6,3,138
87,7,3,364
88,8,3,377
89,9,3,362
90,10,3,130
91,11,3,69
92,12,3,421
93,13,3,57
94,14,3,335
95,15,3,332
96,16,3,78
97,17,3,21
98,18,3,486
99,19,3,235
100,20,3,32
101,21,3,440
102,22,3,342
103,23,3,415
104,24,3,221
105,25,3,389
106,26,3,78
107,27,3,41
108,28,3,482
109,29,3,362
110,30,3,256
111,31,3,480
112,32,3,412
113,33,3,427
114,34,3,75
115,35,3,201
116,36,3,394
117,37,3,259
118,38,3,497
119,39,3,155
120,40,3,227
121,1,4,426
122,2,4,299
123,3,4,59
124,4,4,66
125,5,4,406
126,6,4,196
127,7,4,262
128,8,4,14
129,9,4,130
130,10,4,447
131,11,4,486
132,12,4,154
133,13,4,469
134,14,4,142
135,15,4,150
136,16,4,412
137,17,4,192
138,18,4,434
139,19,4,188
140,20,4,99
141,21,4,185
142,22,4,403
143,23,4,406
144,24,4,370
145,25,4,493
146,26,4,137
147,27,4,445
148,28,4,441
149,29,4,197
150,30,4,437
151,31,4,245
152,32,4,237
153,33,4,52
154,34,4,486
155,35,4,404
156,36,4,95
157,37,4,285
158,38,4,269
159,39,4,36
160,40,4,14
161,1,5,341
162,2,5,492
163,3,5,374
164,4,5,154
165,5,5,370
166,6,5,417
167,7,5,371
168,8,5,31
169,9,5,394
170,10,5,337
171,11,5,354
172,12,5,181
173,13,5,92
174,14,5,130
175,15,5,113
176,16,5,128
177,17,5,221
178,18,5,443
179,19,5,229
180,20,5,241
181,21,5,447
182,22,5,301
183,23,5,444
184,24,5,404
185,25,5,461
186,26,5,212
187,27,5,248
188,28,5,294
189,29,5,250
190,30,5,396
191,31,5,301
192,32,5,102
193,33,5,72
194,34,5,70
195,35,5,88
196,36,5,389
197,37,5,289
198,38,5,55
199,39,5,131
200,40,5,378
201,1,6,467
202,2,6,262
203,3,6,315
204,4,6,89
205,5,6,19
206,6,6,362
207,7,6,315
208,8,6,119
209,9,6,254
210,10,6,217
211,11,6,30
212,12,6,312
213,13,6,126
214,14,6,103
215,15,6,388
216,16,6,159
217,17,6,394
218,18,6,212
219,19,6,110
220,20,6,58
221,21,6,327
222,22,6,11
223,23,6,84
224,24,6,251
225,25,6,302
226,26,6,427
227,27,6,445
228,28,6,326
229,29,6,381
230,30,6,256
231,31,6,368
232,32,6,88
233,33,6,100
234,34,6,355
235,35,6,331
236,36,6,307
237,37,6,280
238,38,6,384
239,39,6,219
240,40,6,58
241,1,7,210
242,2,7,446
243,3,7,79
244,4,7,211
245,5,7,286
246,6,7,94
247,7,7,215
248,8,7,474
249,9,7,197
250,10,7,71
251,11,7,500
252,12,7,357
253,13,7,69
254,14,7,29
255,15,7,407
256,16,7,81
257,17,7,125
258,18,7,149
259,19,7,212
260,20,7,213
261,21,7,363
262,22,7,380
263,23,7,300
264,24,7,350
265,25,7,258
266,26,7,419
267,27,7,112
268,28,7,243
269,29,7,32
270,30,7,220
271,31,7,432
272,32,7,465
273,33,7,459
274,34,7,227
275,35,7,342
276,36,7,150
277,37,7,231
278,38,7,485
279,39,7,169
280,40,7,184
281,1,8,348
282,2,8,175
283,3,8,215
284,4,8,86
285,5,8,161
286,6,8,53
287,7,8,373
288,8,8,461
289,9,8,323
290,10,8,252
291,11,8,168
292,12,8,76
293,13,8,159
294,14,8,148
295,15,8,323
296,16,8,52
297,17,8,351
298,18,8,211
299,19,8,379
300,20,8,213
301,21,8,478
302,22,8,447
303,23,8,47
304,24,8,404
305,25,8,455
306,26,8,74
307,27,8,344
308,28,8,463
309,29,8,113
310,30,8,462
311,31,8,374
312,32,8,40
313,33,8,234
314,34,8,394
315,35,8,88
316,36,8,109
317,37,8,407
318,38,8,161
319,39,8,370
320,40,8,246
321,1,9,240
322,2,9,36
323,3,9,372
324,4,9,413
325,5,9,174
326,6,9,140
327,7,9,378
328,8,9,340
329,9,9,242
330,10,9,17
331,11,9,318
332,12,9,151
333,13,9,447
334,14,9,469
335,15,9,109
336,16,9,13
337,17,9,477
338,18,9,68
339,19,9,125
340,20,9,223
341,21,9,185
342,22,9,168
343,23,9,261
344,24,9,37
345,25,9,197
346,26,9,18
347,27,9,446
348,28,9,460
349,29,9,198
350,30,9,62
351,31,9,150
352,32,9,488
353,33,9,285
354,34,9,309
355,35,9,346
356,36,9,106
357,37,9,372
358,38,9,296
359,39,9,94
360,40,9,125
361,1,10,441
362,2,10,102
363,3,10,156
364,4,10,206
365,5,10,242
366,6,10,146
367,7,10,32
368,8,10,65
369,9,10,177
370,10,10,308
371,11,10,204
372,12,10,297
373,13,10,144
374,14,10,153
375,15,10,206
376,16,10,211
377,17,10,251
378,18,10,235
379,19,10,396
380,20,10,209
381,21,10,367
382,22,10,194
383,23,10,85
384,24,10,113
385,25,10,361
386,26,10,20
387,27,10,453
388,28,10,107
389,29,10,11
390,30,10,458
391,31,10,424
392,32,10,332
393,33,10,274
394,34,10,417
395,35,10,473
396,36,10,376
397,37,10,185
398,38,10,236
399,39,10,489
400,40,10,341
