payment_id,order_id,payment_method,amount,payment_date
1,1,Google Pay,14445.26,2025-11-13 11:35:26.453038
2,2,PayPal,3819.2,2026-02-21 07:20:47.976135
3,3,Credit Card,8150.0,2025-09-19 16:56:28.732122
4,4,Google Pay,4934.12,2025-09-26 00:41:47.984719
5,5,Credit Card,10922.44,2025-12-26 19:12:16.916354
6,6,Apple Pay,6210.96,2026-05-30 07:21:26.905152
7,7,Google Pay,6051.59,2026-04-26 23:11:58.927176
8,8,Google Pay,20643.84,2025-12-20 21:54:05.457495
9,9,Credit Card,3190.04,2026-01-05 16:09:41.697593
10,10,PayPal,6442.33,2025-08-18 14:10:52.864999
11,11,Google Pay,5822.65,2025-12-08 20:06:42.264853
12,12,PayPal,11174.25,2026-05-09 11:30:41.249077
13,13,Credit Card,7296.4,2026-01-10 17:58:41.340916
14,14,Debit Card,6082.68,2026-05-03 14:30:57.077858
15,15,PayPal,1716.1,2025-12-28 20:17:52.428149
16,16,Google Pay,13462.89,2026-07-13 03:00:09.611610
17,17,Apple Pay,14227.51,2025-11-25 23:40:04.185208
18,18,Credit Card,10724.19,2026-07-15 05:06:22.671015
19,19,PayPal,9216.87,2025-12-01 18:37:33.587429
20,20,Debit Card,7915.09,2025-09-08 09:35:19.489369
21,21,Debit Card,6669.16,2026-06-19 23:52:25.789182
22,22,PayPal,14318.27,2025-09-18 05:50:39.787653
23,23,Debit Card,1311.65,2026-01-14 19:42:20.876622
24,24,Credit Card,5833.26,2026-04-11 23:05:30.472686
25,25,Google Pay,10827.36,2025-10-10 03:05:18.683386
26,26,Google Pay,8026.59,2026-03-21 06:01:22.585925
27,27,Credit Card,4121.06,2026-04-24 17:00:00.810317
28,28,PayPal,13818.93,2025-11-20 05:21:00.382819
29,29,Debit Card,5820.34,2026-01-15 11:01:32.777742
30,30,PayPal,5247.27,2025-09-28 03:20:08.743633
31,31,Google Pay,1223.3,2025-08-18 07:50:41.199583
32,32,Google Pay,11185.9,2026-04-11 08:07:13.745911
33,33,Debit Card,1300.76,2026-07-03 09:36:48.629016
34,34,PayPal,6773.02,2026-03-12 19:02:57.300482
35,35,Credit Card,7276.94,2026-06-22 08:55:20.436012
36,36,PayPal,7240.65,2025-12-08 20:12:03.511497
37,37,Debit Card,4934.12,2026-06-22 01:40:13.327684
38,38,PayPal,14661.3,2025-12-10 17:14:40.789675
39,39,Apple Pay,7610.57,2025-08-30 07:30:16.628143
40,40,Google Pay,2422.7,2025-12-22 14:54:57.456244
