product_id,sku,product_name,category_id,supplier_id,price,stock_quantity
1,ELE-0001,MacBook Pro,1,185,1851.78,30
2,ELE-0002,iPhone,1,32,1049.53,266
3,ELE-0003,Galaxy S,1,26,779.98,81
4,ELE-0004,iPad,1,18,1641.55,70
5,ELE-0005,AirPods,1,168,452.53,223
6,ELE-0006,Monitor,1,177,1115.51,448
7,ELE-0007,Mechanical Keyboard,1,83,856.99,29
8,ELE-0008,Gaming Mouse,1,159,1634.06,335
9,HOM-0009,Vacuum Cleaner,2,56,1242.88,76
10,HOM-0010,Dining Table,2,50,664.7,466
11,HOM-0011,Office Chair,2,158,328.16,481
12,HOM-0012,Coffee Maker,2,178,639.25,88
13,HOM-0013,Blender,2,71,1249.86,356
14,SPO-0014,Football,3,166,1819.06,458
15,SPO-0015,Basketball,3,134,624.72,114
16,SPO-0016,Yoga Mat,3,181,1294.78,28
17,SPO-0017,Tennis Racket,3,122,431.56,154
18,BOO-0018,Python Programming,4,33,1987.58,370
19,BOO-0019,SQL Handbook,4,74,34.36,146
20,BOO-0020,Data Engineering,4,102,2416.82,323
21,BOO-0021,Machine Learning,4,149,1663.52,468
22,CLO-0022,T-Shirt,5,165,585.36,473
23,CLO-0023,Jeans,5,112,2111.8,461
24,CLO-0024,Sneakers,5,177,1215.33,464
25,CLO-0025,Jacket,5,1,1225.59,132
26,HEA-0026,Protein Powder,6,114,1631.28,382
27,HEA-0027,Vitamin C,6,183,386.03,420
28,HEA-0028,Yoga Ball,6,45,2295.89,102
29,BEA-0029,Face Wash,7,193,2492.62,31
30,BEA-0030,Moisturizer,7,68,1319.55,157
31,BEA-0031,Shampoo,7,40,905.01,386
32,TOY-0032,Lego Set,8,132,1658.92,29
33,TOY-0033,RC Car,8,72,1614.85,41
34,TOY-0034,Puzzle,8,23,1876.44,397
35,FUR-0035,Bookshelf,9,58,554.3,33
36,FUR-0036,Desk,9,61,2013.68,389
37,FUR-0037,Sofa,9,129,2486.76,120
38,GRO-0038,Rice,10,36,1079.54,311
39,GRO-0039,Pasta,10,64,102.65,420
40,GRO-0040,Olive Oil,10,104,563.95,416
