amount,country_mismatch,payment_failed,suspected_fraud_failure,is_fraud
125.2,0,0,0,0
458.8,0,0,0,0
1137.9,0,0,0,0
1344.65,1,0,0,1
343.02,0,0,0,0
96.88,0,0,0,0
485.32,0,1,0,0
492.98,0,0,0,0
441.0,0,0,0,0
697.8,0,0,0,0
449.7,0,0,0,0
185.16,0,0,0,0
132.7,0,0,0,0
692.97,0,0,0,0
236.82,0,0,0,0
186.63,0,0,0,0
301.65,0,0,0,0
159.08,0,1,1,1
1083.46,1,0,0,1
530.25,0,0,0,0
598.95,0,0,0,0
475.2,0,0,0,0
950.2,0,0,0,0
1182.35,0,0,0,0
152.82,0,0,0,0
28.16,0,0,0,0
9.63,0,0,0,0
907.52,0,0,0,0
180.27,0,0,0,0
792.64,0,0,0,0
142.0,0,1,0,0
660.51,0,0,0,0
54.27,0,0,0,0
29.19,0,0,0,0
716.88,0,0,0,0
518.61,0,0,0,0
1326.38,0,0,0,1
996.6,0,0,0,0
658.32,0,0,0,0
530.07,0,1,0,0
387.09,0,0,0,0
230.72,0,1,0,0
508.65,0,0,0,0
833.0,0,0,0,0
1369.54,1,0,0,1
431.96,0,1,0,0
144.2,0,0,0,0
147.3,0,1,0,0
322.68,0,0,0,0
297.45,0,0,0,0
305.5,0,0,0,0
1177.9,0,0,0,0
736.72,0,1,1,1
2105.87,0,0,0,1
190.77,0,0,0,0
875.35,0,0,0,0
51.43,0,0,0,0
1158.0,0,0,0,0
306.18,0,0,0,0
40.14,0,0,0,0
109.33,0,0,0,0
614.25,0,0,0,0
2334.41,1,0,0,1
1992.16,0,0,0,1
1150.14,0,0,0,1
451.44,0,0,0,0
156.49,0,0,0,0
16.34,0,0,0,0
398.73,0,0,0,0
255.2,0,0,0,0
676.77,0,0,0,0
419.36,0,1,1,1
30.86,0,0,0,0
989.55,0,0,0,0
245.88,0,0,0,0
319.44,0,0,0,0
77.7,0,0,0,0
1009.09,1,0,0,1
162.81,0,0,0,0
157.19,0,0,0,0
254.36,0,0,0,0
450.5,0,0,0,0
406.32,0,0,0,0
189.45,0,0,0,0
699.45,0,0,0,0
1424.12,1,0,0,1
67.95,0,0,0,0
188.06,0,0,0,0
81.62,0,0,0,0
240.99,0,0,0,0
1585.39,0,0,0,1
262.86,0,0,0,0
277.95,0,0,0,0
1188.03,1,0,0,1
495.7,0,0,0,0
233.76,0,0,0,0
2252.29,1,0,0,1
18.83,0,0,0,0
639.24,0,0,0,0
225.1,0,0,0,0
1504.13,0,0,0,1
1204.75,0,1,0,0
49.05,0,0,0,0
493.26,0,0,0,0
181.79,0,0,0,0
2214.72,1,0,0,1
415.84,0,0,0,0
2134.22,1,0,0,1
1017.63,1,0,0,1
58.9,0,0,0,0
356.1,0,0,0,0
176.42,0,0,0,0
113.62,0,0,0,0
187.72,0,0,0,0
66.84,0,0,0,0
1234.55,0,0,0,0
391.98,0,0,0,0
582.96,0,0,0,0
185.88,0,0,0,0
700.74,0,0,0,0
76.68,0,0,0,0
208.75,0,0,0,0
35.96,0,0,0,0
19.05,0,0,0,0
1062.13,1,0,0,1
937.24,0,0,0,0
521.94,0,0,0,0
707.7,0,0,0,0
19.36,0,1,0,0
1397.28,1,0,0,1
364.47,0,0,0,0
39.55,0,0,0,0
491.9,0,0,0,0
1150.98,1,0,0,1
13.48,0,0,0,0
20.2,0,0,0,0
1625.23,1,0,0,1
299.61,0,0,0,0
162.92,0,0,0,0
1579.17,1,0,0,1
287.07,0,0,0,0
1902.0,1,0,0,1
359.4,0,0,0,0
918.32,0,0,0,0
460.58,0,0,0,0
333.88,0,0,0,0
114.44,0,0,0,0
918.65,0,0,0,0
1117.83,1,0,0,1
651.32,0,0,0,0
670.35,0,0,0,0
522.5,0,0,0,0
1323.98,1,0,0,1
2028.95,1,0,0,1
444.12,0,0,0,0
623.73,0,0,0,0
61.8,0,0,0,0
446.24,0,0,0,0
45.2,0,0,0,0
582.4,0,0,0,0
194.97,0,0,0,0
222.75,0,0,0,0
305.88,0,0,0,0
173.59,0,0,0,0
169.71,0,0,0,0
161.85,0,0,0,0
1026.19,1,0,0,1
511.26,0,0,0,0
87.45,0,1,0,0
107.68,0,0,0,0
920.4,0,0,0,0
1096.75,0,0,0,0
356.74,0,0,0,0
457.95,0,0,0,0
83.77,0,0,0,0
207.51,0,0,0,0
748.04,0,0,0,0
1934.62,1,0,0,1
139.57,0,0,0,0
192.1,0,0,0,0
145.98,0,0,0,0
145.95,0,0,0,0
582.2,0,0,0,0
170.04,0,0,0,0
880.45,0,0,0,0
46.95,0,0,0,0
65.97,0,0,0,0
782.95,0,0,0,0
148.28,0,0,0,0
644.36,0,0,0,0
91.17,0,0,0,0
337.62,0,0,0,0
540.88,0,0,0,0
1573.22,1,0,0,1
181.85,0,0,0,0
339.9,0,0,0,0
1054.1,0,0,0,0
187.93,0,0,0,0
560.72,0,0,0,0
521.32,0,0,0,0
320.02,0,0,0,0
288.9,0,0,0,0
1776.2,1,0,0,1
779.3,0,0,0,0
21.98,0,0,0,0
321.32,0,0,0,0
779.24,0,0,0,0
169.56,0,0,0,0
43.92,0,0,0,0
27.46,0,0,0,0
886.9,0,0,0,0
35.44,0,0,0,0
908.48,0,0,0,0
505.96,0,0,0,0
236.34,0,0,0,0
949.76,0,1,0,0
905.4,0,0,0,0
1074.05,0,0,0,0
248.04,0,0,0,0
124.15,0,0,0,0
2108.08,0,0,0,1
110.46,0,0,0,0
309.93,0,0,0,0
14.84,0,0,0,0
170.42,0,0,0,0
170.52,0,0,0,0
33.88,0,0,0,0
404.2,0,0,0,0
578.28,0,0,0,0
414.72,0,0,0,0
902.2,0,1,0,0
994.12,0,0,0,0
181.44,0,0,0,0
260.35,0,1,0,0
146.84,0,0,0,0
2184.29,1,0,0,1
202.22,0,0,0,0
1002.65,0,0,0,0
1258.12,1,0,0,1
13.13,0,0,0,0
195.89,0,0,0,0
388.38,0,0,0,0
72.05,0,1,0,0
178.62,0,0,0,0
453.54,0,0,0,0
965.8,0,0,0,0
466.92,0,0,0,0
263.68,0,1,0,0
1419.05,0,0,0,1
1666.53,1,0,0,1
360.2,0,0,0,0
53.82,0,0,0,0
70.64,0,0,0,0
461.16,0,0,0,0
11.2,0,0,0,0
217.98,0,0,0,0
139.12,0,0,0,0
1163.95,0,0,0,0
126.1,0,0,0,0
587.91,0,0,0,0
50.22,0,0,0,0
103.18,0,0,0,0
342.24,0,0,0,0
108.07,0,0,0,0
136.01,0,0,0,0
151.58,0,0,0,0
456.15,0,0,0,0
610.02,0,0,0,0
460.65,0,0,0,0
620.68,0,0,0,0
102.72,0,1,0,0
1065.95,0,0,0,0
124.81,0,0,0,0
337.35,0,0,0,0
244.52,0,0,0,0
451.26,0,0,0,0
296.45,0,0,0,0
183.0,0,0,0,0
489.46,0,0,0,0
130.11,0,0,0,0
857.28,0,0,0,0
495.32,0,0,0,0
1942.78,1,0,0,1
399.74,0,0,0,0
552.42,0,0,0,0
120.78,0,0,0,0
1562.95,1,0,0,1
553.0,0,0,0,0
1930.56,0,0,0,1
129.53,0,0,0,0
440.88,0,0,0,0
630.0,0,0,0,0
197.82,0,0,0,0
422.94,0,0,0,0
